_____________________________________________
stu_id        course_id     tea_id        
_____________________________________________
16010101      01            980101        
16010101      03            980102        
16010101      04            980102        
16010102      02            980101        
16010102      03            980102        
16010102      04            980102        
16010201      03            990103        
16010201      04            990103        
16010201      09            990302        
16010202      03            990103        
16010202      04            990103        
16010202      05            950101        
16020101      03            960201        
16020101      05            970201        
16020101      06            960202        
16020102      03            960201        
16020102      06            960202        
16020102      09            990302        
16030101      07            990301        
16030101      08            990302        
16030102      07            990301        
16030102      08            990302        
16030102      08            990302        
